GEOID,NAME,POPCOUNT
05000US20113,"McPherson County, Kansas",28630
05000US20115,"Marion County, Kansas",12032
05000US20117,"Marshall County, Kansas",9798
05000US20119,"Meade County, Kansas",4261
05000US20121,"Miami County, Kansas",33127
05000US20123,"Mitchell County, Kansas",6222
05000US20125,"Montgomery County, Kansas",32970
05000US20127,"Morris County, Kansas",5566
05000US20129,"Morton County, Kansas",2838
05000US20131,"Nemaha County, Kansas",10104
05000US20133,"Neosho County, Kansas",16125
05000US20135,"Ness County, Kansas",2955
05000US20137,"Norton County, Kansas",5486
05000US20139,"Osage County, Kansas",15882
05000US20141,"Osborne County, Kansas",3603
05000US20143,"Ottawa County, Kansas",5902
05000US20145,"Pawnee County, Kansas",6709
05000US20147,"Phillips County, Kansas",5408
05000US20149,"Pottawatomie County, Kansas",23545
05000US20151,"Pratt County, Kansas",9582
05000US20153,"Rawlins County, Kansas",2509
05000US20157,"Republic County, Kansas",4686
05000US20159,"Rice County, Kansas",9762
05000US20163,"Rooks County, Kansas",5118
05000US20165,"Rush County, Kansas",3102
05000US20167,"Russell County, Kansas",6977
05000US20171,"Scott County, Kansas",4949
05000US20175,"Seward County, Kansas",22692
05000US20179,"Sheridan County, Kansas",2506
05000US20181,"Sherman County, Kansas",5966
05000US20183,"Smith County, Kansas",3663
05000US20185,"Stafford County, Kansas",4214
05000US20187,"Stanton County, Kansas",2063
05000US20189,"Stevens County, Kansas",5686
05000US20191,"Sumner County, Kansas",23208
05000US20193,"Thomas County, Kansas",7824
05000US20195,"Trego County, Kansas",2858
05000US20197,"Wabaunsee County, Kansas",6888
05000US20199,"Wallace County, Kansas",1575
05000US20201,"Washington County, Kansas",5525
05000US20203,"Wichita County, Kansas",2143
05000US20205,"Wilson County, Kansas",8780
05000US20207,"Woodson County, Kansas",3170
05000US21001,"Adair County, Kentucky",19241
05000US21003,"Allen County, Kentucky",20794
05000US21005,"Anderson County, Kentucky",22214
05000US21007,"Ballard County, Kentucky",8090
05000US21009,"Barren County, Kentucky",43680
05000US21011,"Bath County, Kentucky",12268
05000US21013,"Bell County, Kentucky",27188
05000US21017,"Bourbon County, Kentucky",20144
05000US21019,"Boyd County, Kentucky",48091
05000US21021,"Boyle County, Kentucky",29913
05000US21023,"Bracken County, Kentucky",8306
05000US21025,"Breathitt County, Kentucky",13116
05000US21027,"Breckinridge County, Kentucky",20080
05000US21031,"Butler County, Kentucky",12745
05000US21033,"Caldwell County, Kentucky",12727
05000US21035,"Calloway County, Kentucky",38776
05000US21039,"Carlisle County, Kentucky",4841
05000US21041,"Carroll County, Kentucky",10711
05000US21043,"Carter County, Kentucky",27290
05000US21045,"Casey County, Kentucky",15796
05000US21049,"Clark County, Kentucky",35872
05000US21051,"Clay County, Kentucky",20621
05000US21053,"Clinton County, Kentucky",10211
05000US21055,"Crittenden County, Kentucky",9083
05000US21057,"Cumberland County, Kentucky",6713
05000US21061,"Edmonson County, Kentucky",12122
05000US21063,"Elliott County, Kentucky",7517
05000US21065,"Estill County, Kentucky",14313
05000US21069,"Fleming County, Kentucky",14479
05000US21071,"Floyd County, Kentucky",36926
05000US21075,"Fulton County, Kentucky",6210
05000US21077,"Gallatin County, Kentucky",8703
05000US21079,"Garrard County, Kentucky",17328
05000US21081,"Grant County, Kentucky",24915
05000US21083,"Graves County, Kentucky",37294
05000US21085,"Grayson County, Kentucky",26178
05000US21087,"Green County, Kentucky",11023
05000US21089,"Greenup County, Kentucky",35765
05000US21091,"Hancock County, Kentucky",8719
05000US21095,"Harlan County, Kentucky",27134
05000US21097,"Harrison County, Kentucky",18668
05000US21099,"Hart County, Kentucky",18627
05000US21101,"Henderson County, Kentucky",46137
05000US21103,"Henry County, Kentucky",15814
05000US21105,"Hickman County, Kentucky",4568
05000US21107,"Hopkins County, Kentucky",45664
05000US21109,"Jackson County, Kentucky",13373
05000US21115,"Johnson County, Kentucky",22843
05000US21119,"Knott County, Kentucky",15513
05000US21121,"Knox County, Kentucky",31467
05000US21123,"Larue County, Kentucky",14156
05000US21127,"Lawrence County, Kentucky",15783
05000US21129,"Lee County, Kentucky",6751
05000US21131,"Leslie County, Kentucky",10472
05000US21133,"Letcher County, Kentucky",22676
05000US21135,"Lewis County, Kentucky",13490
05000US21137,"Lincoln County, Kentucky",24458
05000US21139,"Livingston County, Kentucky",9263
05000US21141,"Logan County, Kentucky",26849
05000US21143,"Lyon County, Kentucky",8186
05000US21147,"McCreary County, Kentucky",17635
05000US21149,"McLean County, Kentucky",9331
05000US21153,"Magoffin County, Kentucky",12666
05000US21155,"Marion County, Kentucky",19232
05000US21157,"Marshall County, Kentucky",31166
05000US21159,"Martin County, Kentucky",11919
05000US21161,"Mason County, Kentucky",17153
05000US21163,"Meade County, Kentucky",28326
05000US21165,"Menifee County, Kentucky",6405
05000US21167,"Mercer County, Kentucky",21516
05000US21169,"Metcalfe County, Kentucky",10004
05000US21171,"Monroe County, Kentucky",10634
05000US21173,"Montgomery County, Kentucky",27759
05000US21175,"Morgan County, Kentucky",13285
05000US21177,"Muhlenberg County, Kentucky",31081
05000US21179,"Nelson County, Kentucky",45388
05000US21181,"Nicholas County, Kentucky",7100
05000US21183,"Ohio County, Kentucky",24071
05000US21187,"Owen County, Kentucky",10741
05000US21189,"Owsley County, Kentucky",4463
05000US21191,"Pendleton County, Kentucky",14520
05000US21193,"Perry County, Kentucky",26917
05000US21197,"Powell County, Kentucky",12321
05000US21201,"Robertson County, Kentucky",2143
05000US21203,"Rockcastle County, Kentucky",16827
05000US21205,"Rowan County, Kentucky",24499
05000US21207,"Russell County, Kentucky",17760
05000US21211,"Shelby County, Kentucky",46786
05000US21213,"Simpson County, Kentucky",18063
05000US21215,"Spencer County, Kentucky",18246
05000US21217,"Taylor County, Kentucky",25500
05000US21219,"Todd County, Kentucky",12350
05000US21221,"Trigg County, Kentucky",14344
05000US21223,"Trimble County, Kentucky",8637
05000US21225,"Union County, Kentucky",14802
05000US21229,"Washington County, Kentucky",12019
05000US21231,"Wayne County, Kentucky",20609
05000US21233,"Webster County, Kentucky",13155
05000US21235,"Whitley County, Kentucky",36089
05000US21237,"Wolfe County, Kentucky",7223
05000US21239,"Woodford County, Kentucky",26097
05000US22003,"Allen Parish, Louisiana",25661
05000US22007,"Assumption Parish, Louisiana",22714
05000US22009,"Avoyelles Parish, Louisiana",40882
05000US22011,"Beauregard Parish, Louisiana",36769
05000US22013,"Bienville Parish, Louisiana",13668
05000US22021,"Caldwell Parish, Louisiana",9996
05000US22023,"Cameron Parish, Louisiana",6868
05000US22025,"Catahoula Parish, Louisiana",9893
05000US22027,"Claiborne Parish, Louisiana",16153
05000US22029,"Concordia Parish, Louisiana",20021
05000US22031,"De Soto Parish, Louisiana",27216
05000US22035,"East Carroll Parish, Louisiana",7225
05000US22037,"East Feliciana Parish, Louisiana",19499
05000US22039,"Evangeline Parish, Louisiana",33636
05000US22041,"Franklin Parish, Louisiana",20322
05000US22043,"Grant Parish, Louisiana",22348
05000US22047,"Iberville Parish, Louisiana",32956
05000US22049,"Jackson Parish, Louisiana",15926
05000US22053,"Jefferson Davis Parish, Louisiana",31467
05000US22059,"LaSalle Parish, Louisiana",14949
05000US22061,"Lincoln Parish, Louisiana",47356
05000US22065,"Madison Parish, Louisiana",11472
05000US22067,"Morehouse Parish, Louisiana",25992
05000US22069,"Natchitoches Parish, Louisiana",38963
05000US22075,"Plaquemines Parish, Louisiana",23373
05000US22077,"Pointe Coupee Parish, Louisiana",22158
05000US22081,"Red River Parish, Louisiana",8618
05000US22083,"Richland Parish, Louisiana",20474
05000US22085,"Sabine Parish, Louisiana",24088
05000US22087,"St. Bernard Parish, Louisiana",45694
05000US22091,"St. Helena Parish, Louisiana",10411
05000US22093,"St. James Parish, Louisiana",21357
05000US22095,"St. John the Baptist Parish, Louisiana",43446
05000US22107,"Tensas Parish, Louisiana",4666
05000US22111,"Union Parish, Louisiana",22475
05000US22117,"Washington Parish, Louisiana",46457
05000US22119,"Webster Parish, Louisiana",39631
05000US22121,"West Baton Rouge Parish, Louisiana",25860
05000US22123,"West Carroll Parish, Louisiana",11180
05000US22125,"West Feliciana Parish, Louisiana",15377
05000US22127,"Winn Parish, Louisiana",14494
05000US23007,"Franklin County, Maine",30019
05000US23013,"Knox County, Maine",39823
05000US23015,"Lincoln County, Maine",34067
05000US23021,"Piscataquis County, Maine",16887
05000US23023,"Sagadahoc County, Maine",35277
05000US23027,"Waldo County, Maine",39418
05000US23029,"Washington County, Maine",31694
05000US24011,"Caroline County, Maryland",32875
05000US24019,"Dorchester County, Maryland",32261
05000US24023,"Garrett County, Maryland",29376
05000US24029,"Kent County, Maryland",19593
05000US24035,"Queen Anne's County, Maryland",49355
05000US24039,"Somerset County, Maryland",25737
05000US24041,"Talbot County, Maryland",37211
05000US25007,"Dukes County, Massachusetts",17313
05000US25019,"Nantucket County, Massachusetts",11101
05000US26001,"Alcona County, Michigan",10364
05000US26003,"Alger County, Michigan",9194
05000US26007,"Alpena County, Michigan",28612
05000US26009,"Antrim County, Michigan",23177
05000US26011,"Arenac County, Michigan",15165
05000US26013,"Baraga County, Michigan",8507
05000US26019,"Benzie County, Michigan",17552
05000US26023,"Branch County, Michigan",43584
05000US26029,"Charlevoix County, Michigan",26219
05000US26031,"Cheboygan County, Michigan",25458
05000US26033,"Chippewa County, Michigan",37834
05000US26035,"Clare County, Michigan",30616
05000US26039,"Crawford County, Michigan",13836
05000US26041,"Delta County, Michigan",36190
05000US26043,"Dickinson County, Michigan",25570
05000US26047,"Emmet County, Michigan",33039
05000US26051,"Gladwin County, Michigan",25289
05000US26053,"Gogebic County, Michigan",15414
05000US26057,"Gratiot County, Michigan",41067
05000US26059,"Hillsdale County, Michigan",45830
05000US26061,"Houghton County, Michigan",36360
05000US26063,"Huron County, Michigan",31543
05000US26069,"Iosco County, Michigan",25247
05000US26071,"Iron County, Michigan",11212
05000US26079,"Kalkaska County, Michigan",17463
05000US26083,"Keweenaw County, Michigan",2130
05000US26085,"Lake County, Michigan",11763
05000US26089,"Leelanau County, Michigan",21639
05000US26095,"Luce County, Michigan",6364
05000US26097,"Mackinac County, Michigan",10817
05000US26101,"Manistee County, Michigan",24444
05000US26105,"Mason County, Michigan",28884
05000US26107,"Mecosta County, Michigan",43264
05000US26109,"Menominee County, Michigan",23234
05000US26113,"Missaukee County, Michigan",15006
05000US26119,"Montmorency County, Michigan",9261
05000US26123,"Newaygo County, Michigan",48142
05000US26127,"Oceana County, Michigan",26417
05000US26129,"Ogemaw County, Michigan",20928
05000US26131,"Ontonagon County, Michigan",5968
05000US26133,"Osceola County, Michigan",23232
05000US26135,"Oscoda County, Michigan",8277
05000US26137,"Otsego County, Michigan",24397
05000US26141,"Presque Isle County, Michigan",12797
05000US26143,"Roscommon County, Michigan",23877
05000US26151,"Sanilac County, Michigan",41376
05000US26153,"Schoolcraft County, Michigan",8069
05000US26165,"Wexford County, Michigan",33111
05000US27001,"Aitkin County, Minnesota",15834
05000US27005,"Becker County, Minnesota",33773
05000US27007,"Beltrami County, Minnesota",46117
05000US27009,"Benton County, Minnesota",39779
05000US27011,"Big Stone County, Minnesota",5016
05000US27015,"Brown County, Minnesota",25211
05000US27017,"Carlton County, Minnesota",35540
05000US27021,"Cass County, Minnesota",29022
05000US27023,"Chippewa County, Minnesota",12010
05000US27029,"Clearwater County, Minnesota",8812
05000US27031,"Cook County, Minnesota",5311
05000US27033,"Cottonwood County, Minnesota",11372
05000US27039,"Dodge County, Minnesota",20582
05000US27041,"Douglas County, Minnesota",37203
05000US27043,"Faribault County, Minnesota",13896
05000US27045,"Fillmore County, Minnesota",20888
05000US27047,"Freeborn County, Minnesota",30526
05000US27049,"Goodhue County, Minnesota",46217
05000US27051,"Grant County, Minnesota",5938
05000US27055,"Houston County, Minnesota",18663
05000US27057,"Hubbard County, Minnesota",20862
05000US27059,"Isanti County, Minnesota",38974
05000US27061,"Itasca County, Minnesota",45203
05000US27063,"Jackson County, Minnesota",10047
05000US27065,"Kanabec County, Minnesota",16004
05000US27067,"Kandiyohi County, Minnesota",42658
05000US27069,"Kittson County, Minnesota",4337
05000US27071,"Koochiching County, Minnesota",12644
05000US27073,"Lac qui Parle County, Minnesota",6773
05000US27075,"Lake County, Minnesota",10569
05000US27077,"Lake of the Woods County, Minnesota",3809
05000US27079,"Le Sueur County, Minnesota",27983
05000US27081,"Lincoln County, Minnesota",5707
05000US27083,"Lyon County, Minnesota",25839
05000US27085,"McLeod County, Minnesota",35825
05000US27087,"Mahnomen County, Minnesota",5506
05000US27089,"Marshall County, Minnesota",9392
05000US27091,"Martin County, Minnesota",19964
05000US27093,"Meeker County, Minnesota",23079
05000US27095,"Mille Lacs County, Minnesota",25728
05000US27097,"Morrison County, Minnesota",32949
05000US27099,"Mower County, Minnesota",39602
05000US27101,"Murray County, Minnesota",8353
05000US27103,"Nicollet County, Minnesota",33783
05000US27105,"Nobles County, Minnesota",21839
05000US27107,"Norman County, Minnesota",6559
05000US27113,"Pennington County, Minnesota",14184
05000US27115,"Pine County, Minnesota",29129
05000US27117,"Pipestone County, Minnesota",9185
05000US27119,"Polk County, Minnesota",31591
05000US27121,"Pope County, Minnesota",10980
05000US27125,"Red Lake County, Minnesota",4008
05000US27127,"Redwood County, Minnesota",15331
05000US27129,"Renville County, Minnesota",14721
05000US27133,"Rock County, Minnesota",9413
05000US27135,"Roseau County, Minnesota",15462
05000US27143,"Sibley County, Minnesota",14912
05000US27147,"Steele County, Minnesota",36676
05000US27149,"Stevens County, Minnesota",9784
05000US27151,"Swift County, Minnesota",9411
05000US27153,"Todd County, Minnesota",24440
05000US27155,"Traverse County, Minnesota",3337
05000US27157,"Wabasha County, Minnesota",21500
05000US27159,"Wadena County, Minnesota",13646
05000US27161,"Waseca County, Minnesota",18809
05000US27165,"Watonwan County, Minnesota",10973
05000US27167,"Wilkin County, Minnesota",6343
05000US27173,"Yellow Medicine County, Minnesota",9868
05000US28001,"Adams County, Mississippi",31547
05000US28003,"Alcorn County, Mississippi",37180
05000US28005,"Amite County, Mississippi",12468
05000US28007,"Attala County, Mississippi",18581
05000US28009,"Benton County, Mississippi",8253
05000US28011,"Bolivar County, Mississippi",32592
05000US28013,"Calhoun County, Mississippi",14571
05000US28015,"Carroll County, Mississippi",10129
05000US28017,"Chickasaw County, Mississippi",17279
05000US28019,"Choctaw County, Mississippi",8321
05000US28021,"Claiborne County, Mississippi",9120
05000US28023,"Clarke County, Mississippi",15928
05000US28025,"Clay County, Mississippi",19808
05000US28027,"Coahoma County, Mississippi",23802
05000US28029,"Copiah County, Mississippi",28721
05000US28031,"Covington County, Mississippi",19091
05000US28037,"Franklin County, Mississippi",7757
05000US28039,"George County, Mississippi",23710
05000US28041,"Greene County, Mississippi",13714
05000US28043,"Grenada County, Mississippi",21278
05000US28045,"Hancock County, Mississippi",46653
05000US28051,"Holmes County, Mississippi",18075
05000US28053,"Humphreys County, Mississippi",8539
05000US28055,"Issaquena County, Mississippi",1328
05000US28057,"Itawamba County, Mississippi",23480
05000US28061,"Jasper County, Mississippi",16529
05000US28063,"Jefferson County, Mississippi",7346
05000US28065,"Jefferson Davis County, Mississippi",11495
05000US28069,"Kemper County, Mississippi",10107
05000US28077,"Lawrence County, Mississippi",12630
05000US28079,"Leake County, Mississippi",22870
05000US28083,"Leflore County, Mississippi",29804
05000US28085,"Lincoln County, Mississippi",34432
05000US28091,"Marion County, Mississippi",25202
05000US28093,"Marshall County, Mississippi",35787
05000US28095,"Monroe County, Mississippi",35840
05000US28097,"Montgomery County, Mississippi",10198
05000US28099,"Neshoba County, Mississippi",29376
05000US28101,"Newton County, Mississippi",21524
05000US28103,"Noxubee County, Mississippi",10828
05000US28105,"Oktibbeha County, Mississippi",49481
05000US28107,"Panola County, Mississippi",34243
05000US28111,"Perry County, Mississippi",12028
05000US28113,"Pike County, Mississippi",39737
05000US28115,"Pontotoc County, Mississippi",31315
05000US28117,"Prentiss County, Mississippi",25360
05000US28119,"Quitman County, Mississippi",7372
05000US28123,"Scott County, Mississippi",28415
05000US28125,"Sharkey County, Mississippi",4511
05000US28127,"Simpson County, Mississippi",27073
05000US28129,"Smith County, Mississippi",16063
05000US28131,"Stone County, Mississippi",18375
05000US28133,"Sunflower County, Mississippi",26532
05000US28135,"Tallahatchie County, Mississippi",14361
05000US28137,"Tate County, Mississippi",28493
05000US28139,"Tippah County, Mississippi",21990
05000US28141,"Tishomingo County, Mississippi",19478
05000US28143,"Tunica County, Mississippi",10170
05000US28145,"Union County, Mississippi",28356
05000US28147,"Walthall County, Mississippi",14601
05000US28149,"Warren County, Mississippi",47075
05000US28151,"Washington County, Mississippi",47086
05000US28153,"Wayne County, Mississippi",20422
05000US28155,"Webster County, Mississippi",9828
05000US28157,"Wilkinson County, Mississippi",8990
05000US28159,"Winston County, Mississippi",18358
05000US28161,"Yalobusha County, Mississippi",12421
05000US28163,"Yazoo County, Mississippi",27974
05000US29001,"Adair County, Missouri",25325
05000US29003,"Andrew County, Missouri",17403
05000US29005,"Atchison County, Missouri",5270
05000US29007,"Audrain County, Missouri",25735
05000US29009,"Barry County, Missouri",35493
05000US29011,"Barton County, Missouri",11850
05000US29013,"Bates County, Missouri",16374
05000US29015,"Benton County, Missouri",18989
05000US29017,"Bollinger County, Missouri",12281
05000US29023,"Butler County, Missouri",42733
05000US29025,"Caldwell County, Missouri",9049
05000US29027,"Callaway County, Missouri",44840
05000US29029,"Camden County, Missouri",45096
05000US29033,"Carroll County, Missouri",8843
05000US29035,"Carter County, Missouri",6197
05000US29039,"Cedar County, Missouri",13938
05000US29041,"Chariton County, Missouri",7546
05000US29045,"Clark County, Missouri",6800
05000US29049,"Clinton County, Missouri",20475
05000US29053,"Cooper County, Missouri",17622
05000US29055,"Crawford County, Missouri",24280
05000US29057,"Dade County, Missouri",7590
05000US29059,"Dallas County, Missouri",16499
05000US29061,"Daviess County, Missouri",8302
05000US29063,"DeKalb County, Missouri",12564
05000US29065,"Dent County, Missouri",15504
05000US29067,"Douglas County, Missouri",13374
05000US29069,"Dunklin County, Missouri",30428
05000US29073,"Gasconade County, Missouri",14746
05000US29075,"Gentry County, Missouri",6665
05000US29079,"Grundy County, Missouri",10039
05000US29081,"Harrison County, Missouri",8554
05000US29083,"Henry County, Missouri",21765
05000US29085,"Hickory County, Missouri",9368
05000US29087,"Holt County, Missouri",4456
05000US29089,"Howard County, Missouri",10113
05000US29091,"Howell County, Missouri",40102
05000US29093,"Iron County, Missouri",10221
05000US29103,"Knox County, Missouri",3951
05000US29105,"Laclede County, Missouri",35507
05000US29107,"Lafayette County, Missouri",32589
05000US29109,"Lawrence County, Missouri",38133
05000US29111,"Lewis County, Missouri",10027
05000US29115,"Linn County, Missouri",12186
05000US29117,"Livingston County, Missouri",15076
05000US29119,"McDonald County, Missouri",22827
05000US29121,"Macon County, Missouri",15254
05000US29123,"Madison County, Missouri",12205
05000US29125,"Maries County, Missouri",8884
05000US29127,"Marion County, Missouri",28672
05000US29129,"Mercer County, Missouri",3664
05000US29131,"Miller County, Missouri",25049
05000US29133,"Mississippi County, Missouri",13748
05000US29135,"Moniteau County, Missouri",15958
05000US29137,"Monroe County, Missouri",8654
05000US29139,"Montgomery County, Missouri",11545
05000US29141,"Morgan County, Missouri",20137
05000US29143,"New Madrid County, Missouri",17811
05000US29147,"Nodaway County, Missouri",22547
05000US29149,"Oregon County, Missouri",10699
05000US29151,"Osage County, Missouri",13619
05000US29153,"Ozark County, Missouri",9236
05000US29155,"Pemiscot County, Missouri",17031
05000US29157,"Perry County, Missouri",19146
05000US29159,"Pettis County, Missouri",42371
05000US29161,"Phelps County, Missouri",44789
05000US29163,"Pike County, Missouri",18489
05000US29167,"Polk County, Missouri",31549
05000US29171,"Putnam County, Missouri",4815
05000US29173,"Ralls County, Missouri",10217
05000US29175,"Randolph County, Missouri",24945
05000US29177,"Ray County, Missouri",22825
05000US29179,"Reynolds County, Missouri",6315
05000US29181,"Ripley County, Missouri",13693
05000US29185,"St. Clair County, Missouri",9383
05000US29186,"Ste. Genevieve County, Missouri",17871
05000US29195,"Saline County, Missouri",23102
05000US29197,"Schuyler County, Missouri",4502
05000US29199,"Scotland County, Missouri",4898
05000US29201,"Scott County, Missouri",38729
05000US29203,"Shannon County, Missouri",8246
05000US29205,"Shelby County, Missouri",6061
05000US29207,"Stoddard County, Missouri",29512
05000US29209,"Stone County, Missouri",31527
05000US29211,"Sullivan County, Missouri",6317
05000US29215,"Texas County, Missouri",25671
05000US29217,"Vernon County, Missouri",20691
05000US29219,"Warren County, Missouri",33908
05000US29221,"Washington County, Missouri",24931
05000US29223,"Wayne County, Missouri",13308
05000US29225,"Webster County, Missouri",38082
05000US29227,"Worth County, Missouri",2040
05000US29229,"Wright County, Missouri",18293
05000US30001,"Beaverhead County, Montana",9393
05000US30003,"Big Horn County, Montana",13376
05000US30005,"Blaine County, Montana",6727
05000US30007,"Broadwater County, Montana",5834
05000US30009,"Carbon County, Montana",10546
05000US30011,"Carter County, Montana",1318
05000US30015,"Chouteau County, Montana",5789
05000US30017,"Custer County, Montana",11845
05000US30019,"Daniels County, Montana",1753
05000US30021,"Dawson County, Montana",9191
05000US30023,"Deer Lodge County, Montana",9100
05000US30025,"Fallon County, Montana",2838
05000US30027,"Fergus County, Montana",11273
05000US30033,"Garfield County, Montana",1141
05000US30035,"Glacier County, Montana",13699
05000US30037,"Golden Valley County, Montana",724
05000US30039,"Granite County, Montana",3269
05000US30041,"Hill County, Montana",16439
05000US30043,"Jefferson County, Montana",11778
05000US30045,"Judith Basin County, Montana",1951
05000US30047,"Lake County, Montana",29774
05000US30051,"Liberty County, Montana",2280
05000US30053,"Lincoln County, Montana",19358
05000US30055,"McCone County, Montana",1630
05000US30057,"Madison County, Montana",8218
05000US30059,"Meagher County, Montana",1968
05000US30061,"Mineral County, Montana",4211
05000US30065,"Musselshell County, Montana",4807
05000US30067,"Park County, Montana",16246
05000US30069,"Petroleum County, Montana",432
05000US30071,"Phillips County, Montana",4124
05000US30073,"Pondera County, Montana",6044
05000US30075,"Powder River County, Montana",1619
05000US30077,"Powell County, Montana",6861
05000US30079,"Prairie County, Montana",1342
05000US30081,"Ravalli County, Montana",41902
05000US30083,"Richland County, Montana",11360
05000US30085,"Roosevelt County, Montana",11228
05000US30087,"Rosebud County, Montana",9250
05000US30089,"Sanders County, Montana",11521
05000US30091,"Sheridan County, Montana",3574
05000US30093,"Silver Bow County, Montana",34814
05000US30095,"Stillwater County, Montana",9410
05000US30097,"Sweet Grass County, Montana",3653
05000US30099,"Teton County, Montana",6080
05000US30101,"Toole County, Montana",4976
05000US30103,"Treasure County, Montana",777
05000US30105,"Valley County, Montana",7532
05000US30107,"Wheatland County, Montana",2149
05000US30109,"Wibaux County, Montana",1175
05000US31001,"Adams County, Nebraska",31583
05000US31003,"Antelope County, Nebraska",6372
05000US31005,"Arthur County, Nebraska",418
05000US31007,"Banner County, Nebraska",696
05000US31009,"Blaine County, Nebraska",480
05000US31011,"Boone County, Nebraska",5313
05000US31013,"Box Butte County, Nebraska",11089
05000US31015,"Boyd County, Nebraska",2042
05000US31017,"Brown County, Nebraska",2988
05000US31019,"Buffalo County, Nebraska",49030
05000US31021,"Burt County, Nebraska",6528
05000US31023,"Butler County, Nebraska",8067
05000US31025,"Cass County, Nebraska",25702
05000US31027,"Cedar County, Nebraska",8523
05000US31029,"Chase County, Nebraska",3734
05000US31031,"Cherry County, Nebraska",5790
05000US31033,"Cheyenne County, Nebraska",9852
05000US31035,"Clay County, Nebraska",6232
05000US31037,"Colfax County, Nebraska",10760
05000US31039,"Cuming County, Nebraska",8991
05000US31041,"Custer County, Nebraska",10830
05000US31043,"Dakota County, Nebraska",20317
05000US31045,"Dawes County, Nebraska",8896
05000US31047,"Dawson County, Nebraska",23804
05000US31049,"Deuel County, Nebraska",1894
05000US31051,"Dixon County, Nebraska",5746
05000US31053,"Dodge County, Nebraska",36683
05000US31057,"Dundy County, Nebraska",2023
05000US31059,"Fillmore County, Nebraska",5574
05000US31061,"Franklin County, Nebraska",3006
05000US31063,"Frontier County, Nebraska",2609
05000US31065,"Furnas County, Nebraska",4786
05000US31067,"Gage County, Nebraska",21595
05000US31069,"Garden County, Nebraska",1860
05000US31071,"Garfield County, Nebraska",1975
05000US31073,"Gosper County, Nebraska",2015
05000US31075,"Grant County, Nebraska",718
05000US31077,"Greeley County, Nebraska",2410
05000US31081,"Hamilton County, Nebraska",9178
05000US31083,"Harlan County, Nebraska",3438
05000US31085,"Hayes County, Nebraska",943
05000US31087,"Hitchcock County, Nebraska",2843
05000US31089,"Holt County, Nebraska",10245
05000US31091,"Hooker County, Nebraska",691
05000US31093,"Howard County, Nebraska",6405
05000US31095,"Jefferson County, Nebraska",7188
05000US31097,"Johnson County, Nebraska",5197
05000US31099,"Kearney County, Nebraska",6552
05000US31101,"Keith County, Nebraska",8099
05000US31103,"Keya Paha County, Nebraska",792
05000US31105,"Kimball County, Nebraska",3667
05000US31107,"Knox County, Nebraska",8460
05000US31111,"Lincoln County, Nebraska",35433
05000US31113,"Logan County, Nebraska",886
05000US31115,"Loup County, Nebraska",585
05000US31117,"McPherson County, Nebraska",454
05000US31119,"Madison County, Nebraska",35164
05000US31121,"Merrick County, Nebraska",7803
05000US31123,"Morrill County, Nebraska",4841
05000US31125,"Nance County, Nebraska",3554
05000US31127,"Nemaha County, Nebraska",7004
05000US31129,"Nuckolls County, Nebraska",4275
05000US31131,"Otoe County, Nebraska",15896
05000US31133,"Pawnee County, Nebraska",2676
05000US31135,"Perkins County, Nebraska",2907
05000US31137,"Phelps County, Nebraska",9120
05000US31139,"Pierce County, Nebraska",7157
05000US31141,"Platte County, Nebraska",33063
05000US31143,"Polk County, Nebraska",5255
05000US31145,"Red Willow County, Nebraska",10806
05000US31147,"Richardson County, Nebraska",8009
05000US31149,"Rock County, Nebraska",1350
05000US31151,"Saline County, Nebraska",14288
05000US31155,"Saunders County, Nebraska",21024
05000US31157,"Scotts Bluff County, Nebraska",36255
05000US31159,"Seward County, Nebraska",17127
05000US31161,"Sheridan County, Nebraska",5234
05000US31163,"Sherman County, Nebraska",3042
05000US31165,"Sioux County, Nebraska",1266
05000US31167,"Stanton County, Nebraska",5992
05000US31169,"Thayer County, Nebraska",5098
05000US31171,"Thomas County, Nebraska",645
05000US31173,"Thurston County, Nebraska",7140
05000US31175,"Valley County, Nebraska",4224
05000US31177,"Washington County, Nebraska",20219
05000US31179,"Wayne County, Nebraska",9367
05000US31181,"Webster County, Nebraska",3571
05000US31183,"Wheeler County, Nebraska",822
05000US31185,"York County, Nebraska",13799
05000US32001,"Churchill County, Nevada",24010
05000US32005,"Douglas County, Nevada",47828
05000US32009,"Esmeralda County, Nevada",981
05000US32011,"Eureka County, Nevada",1830
05000US32013,"Humboldt County, Nevada",16904
05000US32015,"Lander County, Nevada",5746
05000US32017,"Lincoln County, Nevada",5174
05000US32021,"Mineral County, Nevada",4448
05000US32023,"Nye County, Nevada",43705
05000US32027,"Pershing County, Nevada",6611
05000US32029,"Storey County, Nevada",3941
05000US32033,"White Pine County, Nevada",9737
05000US33003,"Carroll County, New Hampshire",47840
05000US33007,"Coos County, New Hampshire",32038
05000US33019,"Sullivan County, New Hampshire",43125
05000US35003,"Catron County, New Mexico",3539
05000US35006,"Cibola County, New Mexico",26978
05000US35007,"Colfax County, New Mexico",12353
05000US35011,"De Baca County, New Mexico",2060
05000US35017,"Grant County, New Mexico",28061
05000US35019,"Guadalupe County, New Mexico",4382
05000US35021,"Harding County, New Mexico",459
05000US35023,"Hidalgo County, New Mexico",4371
05000US35027,"Lincoln County, New Mexico",19482
05000US35028,"Los Alamos County, New Mexico",18356
05000US35029,"Luna County, New Mexico",24264
